"tech","count_tech_total"
"Acrobat",4
"Ansible",3
"AutoCAD",3
"Bookkeeping",1
"C#",34
"C++",7
"Django",2
"Docker",31
"Elasticsearch",3
"Facebook",1
"Git",6
"Go",2
"Google Analytics",2
"IAM",17
"IOS",2
"Java",56
"Kafka",10
"LinkedIn",1
"Linux",36
"MATLAB",4
"MongoDB",5
"MS Dynamics",2
"MS Office",10
"Outlook",1
"PeopleSoft",1
"Phoenix",18
"PostgreSQL",17
"Python",218
"QuickBooks",4
"R",27
"Redshift",4
"Ruby",9
"Scala",34
"SharePoint",17
"SolidWorks",2
"Spring Framework",2
"SQL",155
"SQL Developer",1
"SQL Server",12
"SSIS",6
"Tableau",21
"Tomcat",1
"Twitter",1
"UNIX",12
"Visio",10
"VMware",23
"Windows",51
"Wireshark",2
"XML",2
"Yardi",4
